"date","total_cases_in_krakow"
"2020-04-06",102
"2020-04-07",109
"2020-04-08",114
"2020-04-09",121
"2020-04-10",128
"2020-04-11",135
"2020-04-12",141
"2020-04-13",141
"2020-04-14",152
"2020-04-15",158
"2020-04-16",165
"2020-04-17",168
"2020-04-18",171
"2020-04-19",175
"2020-04-20",183
"2020-04-21",188
"2020-04-22",194
"2020-04-23",201
"2020-04-24",204
"2020-04-25",212
"2020-04-26",216
"2020-04-27",218
"2020-04-28",220
"2020-04-29",222
"2020-04-30",229
"2020-05-01",232
"2020-05-02",234
"2020-05-03",239
"2020-05-04",241
"2020-05-05",242
"2020-05-06",246
"2020-05-07",247
"2020-05-08",250
"2020-05-09",251
"2020-05-10",251
"2020-05-11",254
"2020-05-12",259
"2020-05-13",259
"2020-05-14",260
"2020-05-15",260
"2020-05-16",261
"2020-05-17",261
"2020-05-18",261
"2020-05-19",264
"2020-05-20",264
"2020-05-21",264
"2020-05-22",266
"2020-05-23",266
"2020-05-24",266
"2020-05-25",266
"2020-05-26",268
"2020-05-27",268
"2020-05-28",268
"2020-05-29",268
"2020-05-30",268
"2020-05-31",268
"2020-06-01",268
"2020-06-02",268
"2020-06-03",268
"2020-06-04",268
"2020-06-05",270
"2020-06-06",270
"2020-06-07",273
"2020-06-08",275
"2020-06-09",281
"2020-06-10",286
"2020-06-11",290
"2020-06-12",294
"2020-06-13",296
"2020-06-14",299
"2020-06-15",299
"2020-06-16",301
"2020-06-17",301
"2020-06-18",303
"2020-06-19",304
"2020-06-20",309
"2020-06-21",315
"2020-06-22",316
"2020-06-23",318
"2020-06-24",319
"2020-06-25",325
"2020-06-26",330
"2020-06-27",332
"2020-06-28",335
"2020-06-29",336
"2020-06-30",338
"2020-07-01",344
"2020-07-02",344
"2020-07-03",344
"2020-07-04",347
"2020-07-05",347
"2020-07-06",349
"2020-07-07",350
"2020-07-08",351
"2020-07-09",352
"2020-07-10",355
"2020-07-11",358
"2020-07-12",361
"2020-07-13",363
"2020-07-14",368
"2020-07-15",368
"2020-07-16",374
"2020-07-17",378
"2020-07-18",379
"2020-07-19",385
"2020-07-20",395
"2020-07-21",398
"2020-07-22",404
"2020-07-23",410
"2020-07-24",416
"2020-07-25",434
"2020-07-26",441
"2020-07-27",446
"2020-07-28",451
"2020-07-29",465
"2020-07-30",474
"2020-07-31",494
"2020-08-01",518
"2020-08-02",545
"2020-08-03",563
"2020-08-04",583
"2020-08-05",605
"2020-08-06",629
"2020-08-07",660
"2020-08-08",694
"2020-08-09",714
"2020-08-10",743
"2020-08-11",776
"2020-08-12",808
"2020-08-13",841
"2020-08-14",882
"2020-08-15",928
"2020-08-16",951
"2020-08-17",997
"2020-08-18",1033
"2020-08-19",1070
"2020-08-20",1111
"2020-08-21",1169
"2020-08-22",1212
"2020-08-23",1221
"2020-08-24",1233
"2020-08-25",1268
"2020-08-26",1297
"2020-08-27",1354
"2020-08-28",1384
"2020-08-29",1417
"2020-08-30",1459
"2020-08-31",1480
"2020-09-01",1506
"2020-09-02",1542
"2020-09-03",1552
"2020-09-04",1595
"2020-09-05",1615
"2020-09-06",1640
"2020-09-07",1688
"2020-09-08",1721
"2020-09-09",1738
"2020-09-10",1771
"2020-09-11",1812
"2020-09-12",1833
"2020-09-13",1839
"2020-09-14",1850
"2020-09-15",1868
"2020-09-16",1894
"2020-09-17",1913
"2020-09-18",1924
"2020-09-19",1955
"2020-09-20",1970
"2020-09-21",1992
"2020-09-22",2007
"2020-09-23",2049
"2020-09-24",2084
"2020-09-25",2135
"2020-09-26",2191
"2020-09-27",2223
"2020-09-28",2261
"2020-09-29",2279
"2020-09-30",2303
"2020-10-01",2365
"2020-10-02",2440
"2020-10-03",2502
"2020-10-04",2542
"2020-10-05",2577
"2020-10-06",2630
"2020-10-07",2769
"2020-10-08",2935
"2020-10-09",3135
"2020-10-10",3264
"2020-10-11",3532
"2020-10-12",3800
"2020-10-13",4187
"2020-10-14",4682
"2020-10-15",5222
"2020-10-16",5484
"2020-10-17",5967
"2020-10-18",6291
"2020-10-19",6780
"2020-10-20",7310
"2020-10-21",7829
"2020-10-22",8234
"2020-10-23",8842
"2020-10-24",9237
"2020-10-25",9573
"2020-10-26",9804
"2020-10-27",10365
"2020-10-28",10979
"2020-10-29",11496
"2020-10-30",12012
"2020-10-31",12355
"2020-11-01",12702
"2020-11-02",13286
"2020-11-03",13768
"2020-11-04",14261
"2020-11-05",14655
"2020-11-06",15490
"2020-11-07",16088
