"date","daily_cases_in_krakow"
"2022-06-29",22
"2022-06-30",38
"2022-07-01",25
"2022-07-02",7
"2022-07-03",7
"2022-07-04",44
"2022-07-05",55
"2022-07-06",47
"2022-07-07",60
"2022-07-08",53
"2022-07-09",5
"2022-07-10",14
"2022-07-11",69
"2022-07-12",72
"2022-07-13",82
"2022-07-14",44
"2022-07-15",46
"2022-07-16",6
"2022-07-17",11
"2022-07-18",88
"2022-07-19",112
"2022-07-20",122
"2022-07-21",106
"2022-07-22",111
"2022-07-23",22
"2022-07-24",20
"2022-07-25",149
"2022-07-26",108
"2022-07-27",87
"2022-07-28",115
"2022-07-29",128
"2022-07-30",22
"2022-07-31",9
"2022-08-01",148
"2022-08-02",123
"2022-08-03",129
"2022-08-04",96
"2022-08-05",126
"2022-08-06",16
"2022-08-07",13
"2022-08-08",131
"2022-08-09",120
"2022-08-10",109
"2022-08-11",92
"2022-08-12",82
"2022-08-13",28
"2022-08-14",22
"2022-08-15",18
"2022-08-16",140
"2022-08-17",104
"2022-08-18",108
"2022-08-19",125
"2022-08-20",14
"2022-08-21",13
"2022-08-22",104
"2022-08-23",94
"2022-08-24",81
"2022-08-25",85
"2022-08-26",82
"2022-08-27",28
"2022-08-28",7
"2022-08-29",119
"2022-08-30",91
"2022-08-31",65
"2022-09-01",33
"2022-09-02",23
"2022-09-03",5
"2022-09-04",7
"2022-09-05",29
"2022-09-06",40
"2022-09-07",56
"2022-09-08",91
"2022-09-09",47
"2022-09-10",17
"2022-09-11",9
"2022-09-12",56
"2022-09-13",94
"2022-09-14",85
"2022-09-15",33
"2022-09-16",26
"2022-09-17",7
"2022-09-18",13
"2022-09-19",59
"2022-09-20",53
"2022-09-21",86
"2022-09-22",93
"2022-09-23",53
"2022-09-24",11
"2022-09-25",9
"2022-09-26",76
"2022-09-27",74
"2022-09-28",97
"2022-09-29",67
"2022-09-30",90
"2022-10-01",6
"2022-10-02",10
"2022-10-03",95
"2022-10-04",76
"2022-10-05",72
"2022-10-06",64
"2022-10-07",106
"2022-10-08",11
"2022-10-09",9
"2022-10-10",66
"2022-10-11",61
"2022-10-12",62
"2022-10-13",64
"2022-10-14",52
"2022-10-15",11
"2022-10-16",0
"2022-10-17",52
"2022-10-18",36
"2022-10-19",38
"2022-10-20",38
"2022-10-21",25
"2022-10-22",9
"2022-10-23",3
"2022-10-24",48
"2022-10-25",38
"2022-10-26",40
"2022-10-27",29
"2022-10-28",34
"2022-10-29",12
"2022-10-30",8
"2022-10-31",28
"2022-11-01",11
"2022-11-02",39
"2022-11-03",29
"2022-11-04",18
"2022-11-05",7
"2022-11-06",5
"2022-11-07",23
"2022-11-08",22
"2022-11-09",8
"2022-11-10",12
"2022-11-11",0
"2022-11-12",4
"2022-11-13",5
"2022-11-14",24
"2022-11-15",22
"2022-11-16",17
"2022-11-17",8
"2022-11-18",10
"2022-11-19",1
"2022-11-20",4
"2022-11-21",16
"2022-11-22",13
"2022-11-23",10
"2022-11-24",20
"2022-11-25",9
"2022-11-26",2
